iter	Passed	Remaining
0	47	47542
1	47	23891
2	48	16010
3	48	12079
4	48	9710
5	49	8128
6	49	6996
7	49	6147
8	49	5496
9	50	4972
10	50	4543
11	50	4181
12	51	3875
13	51	3613
14	51	3385
15	51	3187
16	52	3011
17	52	2856
18	52	2717
19	52	2591
20	53	2480
21	53	2376
22	53	2282
23	54	2199
24	54	2118
25	54	2044
26	54	1975
27	55	1910
28	55	1851
29	55	1795
30	55	1744
31	56	1696
32	56	1651
33	56	1609
34	56	1568
35	57	1530
36	57	1496
37	57	1462
38	58	1430
39	58	1399
40	58	1371
41	58	1343
42	59	1317
43	59	1291
44	59	1267
45	60	1245
46	60	1223
47	60	1202
48	60	1182
49	61	1162
50	61	1143
51	61	1124
52	61	1107
53	62	1090
54	62	1073
55	62	1057
56	62	1041
57	63	1026
58	63	1011
59	63	997
60	63	984
61	64	971
62	64	958
63	64	945
64	64	934
65	65	922
66	65	911
67	65	900
68	65	889
69	66	878
70	66	868
71	66	858
72	66	849
73	67	843
74	67	834
75	67	825
76	68	818
77	68	810
78	68	801
79	69	793
80	69	785
81	69	778
82	69	769
83	69	762
84	70	754
85	70	747
86	70	741
87	70	734
88	71	728
89	71	722
90	71	716
91	71	709
92	72	703
93	72	697
94	72	691
95	72	686
96	73	680
97	73	675
98	73	669
99	73	664
100	74	659
101	74	654
102	74	649
103	74	644
104	75	639
105	75	635
106	75	630
107	75	625
108	76	621
109	76	617
110	76	612
111	76	608
112	76	604
113	77	600
114	77	596
115	77	592
116	77	587
117	78	583
118	78	580
119	78	576
120	78	572
121	79	568
122	79	565
123	79	561
124	79	558
125	80	555
126	80	551
127	80	547
128	80	544
129	80	541
130	81	539
131	81	535
132	81	532
133	81	529
134	82	527
135	82	524
136	82	521
137	83	519
138	83	517
139	83	514
140	84	511
141	84	508
142	84	506
143	84	503
144	84	500
145	85	498
146	85	495
147	85	493
148	85	490
149	86	488
150	86	485
151	86	483
152	87	482
153	87	480
154	87	477
155	87	475
156	88	473
157	88	471
158	88	468
159	88	466
160	89	464
161	89	462
162	89	459
163	89	457
164	90	455
165	90	453
166	90	451
167	90	449
168	91	447
169	91	445
170	91	444
171	91	442
172	92	440
173	92	438
174	92	436
175	92	434
176	93	432
177	93	431
178	93	429
179	94	429
180	94	428
181	94	426
182	95	424
183	95	422
184	95	421
185	95	419
186	96	417
187	96	416
188	96	414
189	96	413
190	97	411
191	97	410
192	97	408
193	98	407
194	98	405
195	98	404
196	98	403
197	99	401
198	99	400
199	99	398
200	100	397
201	100	396
202	100	394
203	100	393
204	101	392
205	101	390
206	101	389
207	101	387
208	102	386
209	102	385
210	102	383
211	102	382
212	103	381
213	103	379
214	103	378
215	103	377
216	104	375
217	104	374
218	104	373
219	104	372
220	105	370
221	105	369
222	105	368
223	106	367
224	106	366
225	106	364
226	106	363
227	107	362
228	107	361
229	107	360
230	107	358
231	108	357
232	108	356
233	108	355
234	108	354
235	109	353
236	109	352
237	109	350
238	109	349
239	110	348
240	110	347
241	110	346
242	110	345
243	111	344
244	111	343
245	111	342
246	112	341
247	112	340
248	112	339
249	112	338
250	113	337
251	113	336
252	113	335
253	113	334
254	114	333
255	114	332
256	114	331
257	114	330
258	115	329
259	115	328
260	115	327
261	116	326
262	116	325
263	116	325
264	116	324
265	117	323
266	117	322
267	117	321
268	117	320
269	118	319
270	118	318
271	118	317
272	118	316
273	119	315
274	119	314
275	119	314
276	120	313
277	120	312
278	120	311
279	120	310
280	121	309
281	121	308
282	121	308
283	121	307
284	122	306
285	122	305
286	122	304
287	122	303
288	123	303
289	123	302
290	123	301
291	123	300
292	124	299
293	124	298
294	124	298
295	125	297
296	125	296
297	125	295
298	125	294
299	126	294
300	126	293
301	126	292
302	126	291
303	127	291
304	127	290
305	127	289
306	127	288
307	128	288
308	128	287
309	128	286
310	128	285
311	129	284
312	129	284
313	129	283
314	130	282
315	130	282
316	130	281
317	130	280
318	131	279
319	131	279
320	131	278
321	131	277
322	132	277
323	132	276
324	132	275
325	133	274
326	133	274
327	133	273
328	133	272
329	134	272
330	134	271
331	134	270
332	134	270
333	135	269
334	135	268
335	135	268
336	135	267
337	136	266
338	136	266
339	136	265
340	136	264
341	137	264
342	137	263
343	137	262
344	138	262
345	138	261
346	138	260
347	138	260
348	139	259
349	139	258
350	139	257
351	139	257
352	140	256
353	140	255
354	140	255
355	140	254
356	141	254
357	141	253
358	141	252
359	141	252
360	142	251
361	142	250
362	142	250
363	142	249
364	143	249
365	143	248
366	143	247
367	144	247
368	144	246
369	144	246
370	144	245
371	145	244
372	145	244
373	145	243
374	145	243
375	146	242
376	146	241
377	146	241
378	146	240
379	147	240
380	147	239
381	147	238
382	147	238
383	148	237
384	148	237
385	148	236
386	149	236
387	149	235
388	149	234
389	149	234
390	150	233
391	150	233
392	150	232
393	150	232
394	151	231
395	151	231
396	151	230
397	151	229
398	152	229
399	152	228
400	152	228
401	153	227
402	153	227
403	153	226
404	153	226
405	154	225
406	154	224
407	154	224
408	154	223
409	155	223
410	155	222
411	155	222
412	155	221
413	156	221
414	156	220
415	156	219
416	156	219
417	157	218
418	157	218
419	157	217
420	158	217
421	158	217
422	159	217
423	159	216
424	159	216
425	160	215
426	160	215
427	160	214
428	160	214
429	161	213
430	161	213
