iter	Passed	Remaining
0	0	63
1	1	58
2	1	54
3	2	49
4	2	48
5	3	48
6	9	126
7	9	114
8	10	105
9	10	98
10	11	92
11	11	86
12	12	81
13	12	77
14	13	74
15	13	71
16	14	68
17	14	65
18	14	63
19	15	61
20	15	59
21	16	57
22	16	56
23	17	54
24	17	52
25	18	51
26	18	50
27	18	48
28	19	47
29	19	46
30	20	45
31	20	43
32	21	42
33	21	41
34	21	40
35	22	39
36	22	38
37	23	37
38	23	36
39	24	36
40	24	35
41	25	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	30
47	27	29
48	27	29
49	28	28
50	28	27
51	29	26
52	29	26
53	29	25
54	30	24
55	30	24
56	30	23
57	31	22
58	31	22
59	32	21
60	32	20
61	32	20
62	33	19
63	33	18
64	34	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	14
71	37	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	41	7
84	42	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
